CdsCod,AdCod,n°iscritti,n°passati,Tasso_superamento,voto_medio
E3401Q,E3401Q055,49,1,0.02,26
E3002Q,E3002Q006,77,6,0.08,28.33
I0301D,I0301D001,70,10,0.14,21.5
I0302D,I0302D001,67,10,0.15,21
E3401Q,E3401Q038,81,12,0.15,22.58
F1601M,F1601M055,78,12,0.15,26
E4102B,E4102B002,144,25,0.17,23.84
E3101Q,E3101Q101,405,74,0.18,20.86
E3101Q,E3101Q104,555,105,0.19,21.6
I0302D,I0302D003,83,16,0.19,22.44
E3201Q,E3201Q001,123,25,0.2,23.16
E3002Q,E3002Q032,127,25,0.2,23.28
E3501Q,E3501Q003,117,23,0.2,25.22
F7601M,F7601M051,56,11,0.2,26.55
F1601M,F1601M063,40,8,0.2,27
F7501Q,F7501Q004,76,16,0.21,28.94
E4101B,E4101B002,204,45,0.22,22.96
E3002Q,E3002Q033,116,25,0.22,25.52
E4102B,E4102B067,214,47,0.22,25.89
E2001R,E2001R059,52,12,0.23,26.67
E3401Q,E3401Q051,96,23,0.24,25.52
E1601N,E1601N020,344,87,0.25,20.98
E4102B,E4102B005,264,65,0.25,22.91
E3401Q,E3401Q036,92,23,0.25,26.87
E3002Q,E3002Q034,35,9,0.26,23.11
E1803M,E1803M047,552,143,0.26,23.56
E3201Q,E3201Q073,42,11,0.26,26.73
H4601D,H4601D016,66,17,0.26,28.35
E4101B,E4101B001,315,86,0.27,22.12
F8204B,F8204B002,63,17,0.27,25.94
E2701Q,E2701Q036,100,27,0.27,26.41
I0101D,I0101D011,307,83,0.27,27.42
I0301D,I0301D003,75,21,0.28,20.86
I0303D,I0303D001,53,15,0.28,23.93
E3002Q,E3002Q011,57,16,0.28,24.13
E3401Q,E3401Q004,171,48,0.28,24.35
E3301M,E3301M131,299,87,0.29,21.74
E4001N,E4001N015,257,74,0.29,25.93
I0101D,I0101D004,437,130,0.3,21.18
E2702Q,E2702Q089,121,38,0.31,26.74
E3401Q,E3401Q001,188,61,0.32,22.67
E3901N,E3901N028,192,61,0.32,23.74
E2701Q,E2701Q046,31,10,0.32,25.9
E4101B,E4101B003,182,58,0.32,25.93
E1803M,E1803M037,147,49,0.33,22.9
E3201Q,E3201Q092,69,23,0.33,26.09
F9201P,F9201P200,51,17,0.33,28.29
E3201Q,E3201Q067,111,38,0.34,22.45
E3001Q,E3001Q055,38,13,0.34,23.08
E3401Q,E3401Q013,156,53,0.34,23.09
F1601M,F1601M056,93,32,0.34,24.22
G8501R,G8501R012,457,155,0.34,24.5
E2701Q,E2701Q045,47,16,0.34,26.75
E1801M,E1801M039,330,117,0.35,23.39
E3002Q,E3002Q028,85,30,0.35,26.57
E2701Q,E2701Q037,37,13,0.35,27.08
E1801M,E1801M032,408,145,0.36,22.06
E4102B,E4102B001,125,45,0.36,24.11
E3201Q,E3201Q106,73,26,0.36,25.31
F7702M,F7702M057,230,86,0.37,21.7
I0302D,I0302D009,54,20,0.37,25
F7601M,F7601M052,92,34,0.37,26
E3501Q,E3501Q023,70,26,0.37,26.27
E1401A,E1401A078,359,135,0.38,23.33
E1802M,E1802M007,496,189,0.38,24.31
E1803M,E1803M041,317,121,0.38,24.79
E3401Q,E3401Q002,93,35,0.38,25.03
E1802M,E1802M033,183,70,0.38,25.24
F7601M,F7601M075,42,16,0.38,25.31
E2701Q,E2701Q034,132,50,0.38,25.4
