cds,conteggio,dtappello,tipocorso
[H4101D] MEDICINA E CHIRURGIA,42,2017-03-31,[LM6] Laurea Magistrale Ciclo Unico 6 anni
[581] GIURISPRUDENZA,32,2017-05-03,[LM5] Laurea Magistrale Ciclo Unico 5 anni
[I0101D] INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),17,2017-09-22,[L2] Corso di Laurea - L2
[E1401A] SCIENZE DEI SERVIZI GIURIDICI,13,2017-09-27,[L2] Corso di Laurea - L2
[E4001N] SOCIOLOGIA,12,2017-07-21,[L2] Corso di Laurea - L2
"[E1801M] MARKETING, COMUNICAZIONE AZIENDALE E MERCATI GLOBALI",12,2017-04-11,[L2] Corso di Laurea - L2
[E1901R] SCIENZE DELL'EDUCAZIONE,11,2017-06-27,[L2] Corso di Laurea - L2
"[E1803M] ECONOMIA DELLE BANCHE, DELLE ASSICURAZIONI E DEGLI INTERMEDIARI FINANZIARI",11,2017-04-11,[L2] Corso di Laurea - L2
[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA,10,2017-02-28,[LM5] Laurea Magistrale Ciclo Unico 5 anni
[E3301M] ECONOMIA E COMMERCIO,10,2017-04-20,[L2] Corso di Laurea - L2
[E2001R] COMUNICAZIONE INTERCULTURALE,10,2017-07-11,[L2] Corso di Laurea - L2
[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE,10,2017-04-12,[L2] Corso di Laurea - L2
[H4601D] ODONTOIATRIA E PROTESI DENTARIA,9,2017-03-31,[LM6] Laurea Magistrale Ciclo Unico 6 anni
[F7702M] MARKETING E MERCATI GLOBALI,9,2017-06-21,[LM] Corso di Laurea Magistrale
[F1701Q] FISICA,9,2017-07-19,[LM] Corso di Laurea Magistrale
[E4101B] SCIENZE STATISTICHE ED ECONOMICHE,8,2017-09-15,[L2] Corso di Laurea - L2
[E3101Q] INFORMATICA,8,2017-07-19,[L2] Corso di Laurea - L2
[E3001Q] FISICA,8,2017-06-26,[L2] Corso di Laurea - L2
[E2401P] SCIENZE E TECNICHE PSICOLOGICHE,8,2017-07-11,[L2] Corso di Laurea - L2
[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),7,2017-06-13,[L2] Corso di Laurea - L2
[F8501R] SCIENZE PEDAGOGICHE,7,2017-06-07,[LM] Corso di Laurea Magistrale
[F7701M] SCIENZE ECONOMICO-AZIENDALI,7,2017-04-12,[LM] Corso di Laurea Magistrale
[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI,7,2017-02-01,[L2] Corso di Laurea - L2
[E3501Q] MATEMATICA,7,2017-07-18,[L2] Corso di Laurea - L2
[E2701Q] SCIENZA DEI MATERIALI,7,2017-04-27,[L2] Corso di Laurea - L2
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,7,2017-07-11,[L2] Corso di Laurea - L2
[E1601N] SCIENZE DELL'ORGANIZZAZIONE,7,2017-07-18,[L2] Corso di Laurea - L2
[E1501N] SCIENZE DEL TURISMO E COMUNITÀ LOCALE,7,2017-07-21,[L2] Corso di Laurea - L2
[E1301Q] SCIENZE BIOLOGICHE,7,2017-09-18,[L2] Corso di Laurea - L2
[K0101D] SCIENZE INFERMIERISTICHE E OSTETRICHE,6,2017-03-31,[LM] Corso di Laurea Magistrale
"[I0303D] TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA )",6,2017-07-20,[L2] Corso di Laurea - L2
[I0201D] FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),6,2017-09-25,[L2] Corso di Laurea - L2
[F8204B] SCIENZE STATISTICHE ED ECONOMICHE,6,2017-07-13,[LM] Corso di Laurea Magistrale
