cds,ad,media_voto
[524] SCIENZE DELL'EDUCAZIONE,[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE,25
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO,25
[581] GIURISPRUDENZA,[A5810234] LA CORTE DI GIUSTIZIA: TECNICHE E STRUMENTI,30
[581] GIURISPRUDENZA,[A5810172] INTERNATIONAL CRIMINAL JUSTICE,30
[581] GIURISPRUDENZA,[A5810171] LAW OF BRICS COUNTRIES AND EU,30
[581] GIURISPRUDENZA,[A5810170] TRANSITIONAL JUSTICE AND STATE BUILDING,30
[581] GIURISPRUDENZA,[A5810169] EUROPEAN UNION COMMON AND SECURITY DEFENSE POLICY,30
[581] GIURISPRUDENZA,[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE,30
[581] GIURISPRUDENZA,[A5810065] DIRITTO PUBBLICO DELL'ECONOMIA,29.90909090909091
[581] GIURISPRUDENZA,[A5810116] COMPARATIVE CIVIL PROCEDURE,29.857142857142858
[581] GIURISPRUDENZA,[A5810121] MEDIAZIONE CIVILE E COMMERCIALE,29.8
[581] GIURISPRUDENZA,[A5810033] TEORIE DELL'INTERPRETAZIONE,29.53846153846154
[581] GIURISPRUDENZA,[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI,29.282608695652176
[581] GIURISPRUDENZA,[A5810089] PROCEDURA PENALE SOVRANAZIONALE,29.214285714285715
[581] GIURISPRUDENZA,[A5810073] PROCEDURA PENALE EUROPEA,29.214285714285715
[581] GIURISPRUDENZA,[A5810037] STORIA DEL DIRITTO ROMANO,29.205882352941178
[581] GIURISPRUDENZA,[A5810165] INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW,29.11111111111111
[581] GIURISPRUDENZA,[A5810080] DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI,29.071428571428573
[581] GIURISPRUDENZA,[A5810215] PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA,29
[581] GIURISPRUDENZA,[A5810134] FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO,28.977272727272727
[581] GIURISPRUDENZA,[A5810076] DIRITTO ECCLESIASTICO COMPARATO,28.87878787878788
[581] GIURISPRUDENZA,[A5810052] DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE,28.870967741935484
