cds,ad,media_voto,numero_superamenti
[524] SCIENZE DELL'EDUCAZIONE,[E1901R086] METODI E TECNICHE DELLA FORMAZIONE MEDIALE,25,1
[541] SCIENZE DEL TURISMO E COMUNITA' LOCALE(C.SO A DISTANZA),[E1501N009] SOCIOLOGIA DELLA CULTURA E DEL TEMPO LIBERO,25,1
[581] GIURISPRUDENZA,[A5810234] LA CORTE DI GIUSTIZIA: TECNICHE E STRUMENTI,30,4
[581] GIURISPRUDENZA,[A5810172] INTERNATIONAL CRIMINAL JUSTICE,30,1
[581] GIURISPRUDENZA,[A5810171] LAW OF BRICS COUNTRIES AND EU,30,8
[581] GIURISPRUDENZA,[A5810170] TRANSITIONAL JUSTICE AND STATE BUILDING,30,5
[581] GIURISPRUDENZA,[A5810169] EUROPEAN UNION COMMON AND SECURITY DEFENSE POLICY,30,2
[581] GIURISPRUDENZA,[A5810139] DIRITTO AMMINISTRATIVO -PARTE SPECIALE,30,5
[581] GIURISPRUDENZA,[A5810065] DIRITTO PUBBLICO DELL'ECONOMIA,29.90909090909091,11
[581] GIURISPRUDENZA,[A5810116] COMPARATIVE CIVIL PROCEDURE,29.857142857142858,7
[581] GIURISPRUDENZA,[A5810121] MEDIAZIONE CIVILE E COMMERCIALE,29.8,20
[581] GIURISPRUDENZA,[A5810033] TEORIE DELL'INTERPRETAZIONE,29.53846153846154,13
[581] GIURISPRUDENZA,[A5810138] SOCIOLOGIA DEI DIRITTI FONDAMENTALI,29.282608695652176,92
[581] GIURISPRUDENZA,[A5810089] PROCEDURA PENALE SOVRANAZIONALE,29.214285714285715,14
[581] GIURISPRUDENZA,[A5810073] PROCEDURA PENALE EUROPEA,29.214285714285715,14
[581] GIURISPRUDENZA,[A5810037] STORIA DEL DIRITTO ROMANO,29.205882352941178,102
[581] GIURISPRUDENZA,[A5810165] INTERNATIONAL PEACEKEEPING AND UNITED NATIONS LAW,29.11111111111111,9
[581] GIURISPRUDENZA,[A5810080] DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI,29.071428571428573,28
[581] GIURISPRUDENZA,[A5810215] PLURALISMO RELIGIOSO E INTEGRAZIONE EUROPEA,29,8
[581] GIURISPRUDENZA,[A5810134] FONDAMENTI ROMANISTICI DEL DIRITTO PRIVATO EUROPEO,28.977272727272727,44
[581] GIURISPRUDENZA,[A5810076] DIRITTO ECCLESIASTICO COMPARATO,28.87878787878788,33
[581] GIURISPRUDENZA,[A5810052] DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE,28.870967741935484,31
[581] GIURISPRUDENZA,[A5810050] DIRITTO DEI MERCATI FINANZIARI,28.821428571428573,28
[581] GIURISPRUDENZA,[A5810063] DIRITTO PENITENZIARIO,28.78,50
[581] GIURISPRUDENZA,[A5810093] ORDINAMENTO GIUDIZIARIO,28.6,30
[581] GIURISPRUDENZA,[A5810062] DIRITTO PENALE MINORILE,28.584615384615386,65
[581] GIURISPRUDENZA,[A5810058] DIRITTO INTERNAZIONALE DEI CONFLITTI ARMATI,28.558823529411764,34
[581] GIURISPRUDENZA,[A5810131] DIRITTO PARLAMENTARE,28.48,25
