ad,media
[E3101Q104] ARCHITETTURA DEGLI ELABORATORI,112.5
[E4001N044] SOCIOLOGIA 1,99
[E1601N020] MATEMATICA,85.66666666666667
[E3101Q101] COMPLEMENTI DI MATEMATICA,82.75
[G8501R026] PROVA IDONEITA' DI LINGUA INGLESE DI LIVELLO B2,74.33333333333333
[E4001N009] DEMOGRAFIA,66
[I0101D001] SCIENZE BIOMEDICHE 1,64.2
[I0101D004] FISIOLOGIA UMANA,61.4
[E1901R005] PSICOLOGIA DELL'EDUCAZIONE,56.5
[I0101D011] ASSISTENZA INFERMIERISTICA IN MEDICINA SPECIALISTICA,56
[E3101Q103] BASI DI DATI,55
[E1801M039] STATISTICA I,53.25
[G8501R012] ISTITUZIONI E DIDATTICA DELLA MATEMATICA CON LABORATORIO,50.333333333333336
[E1803M041] STATISTICA I,49
[E4001N015] STORIA CONTEMPORANEA,45.75
[I0101D009] METODOLOGIA CLINICA INFERMIERISTICA 1,41.6
[G8501R004] LINGUISTICA ITALIANA,40.25
[E2401P013] PSICOLOGIA DINAMICA,40
[E4101B002] ALGEBRA LINEARE,39.75
[E4001N047] SOCIOLOGIA 2,39.2
[E3101Q110] RETI E SISTEMI OPERATIVI,38.25
[E4101B001] ANALISI MATEMATICA I,38.166666666666664
[E1601N003] DIRITTO PRIVATO,38
[E1801M032] INFORMATICA GENERALE,37.57142857142857
[E3301M128] MATEMATICA GENERALE I,37.333333333333336
[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA,37.333333333333336
[E1803M047] MATEMATICA GENERALE I,37.18181818181818
[H4101D253] FISIOLOGIA UMANA,36.8
[E2401P012] PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI,35.8
[E3301M131] METODI MATEMATICI,35.333333333333336
[I0101D012] ASSISTENZA INFERMIERISTICA IN CHIRURGIA SPECIALISTICA,35.25
[E2401P001] PSICOLOGIA GENERALE 1,34.125
[E3901N028] PSICOLOGIA DELLO SVILUPPO,33
[E1802M119] METODI STATISTICI PER L'AMMINISTRAZIONE DELLE IMPRESE,32.666666666666664
[G8501R005] STORIA E DIDATTICA DELLA STORIA 1,32.6
[I0101D006] METODOLOGIA CLINICA NELLE SCIENZE INFERMIERISTICHE,32
[G8501R017] FISICA E DIDATTICA DELLA FISICA CON LABORATORIO,31.75
[E1601N008] FONDAMENTI DI ORGANIZZAZIONE,31.5
[E1601N002] ISTITUZIONI DI DIRITTO PUBBLICO,31.5
[I0101D901] FONDAMENTI DI SCIENZE INFERMIERISTICHE ED OSTETRICHE,31.4
[E3001Q038] CHIMICA,31.4
[E2401P010] PSICOLOGIA DELLO SVILUPPO,30.833333333333332
[E1601N004] STATISTICA,30
[E2401P007] PSICOLOGIA GENERALE 2,29.4
[E3301M192] STATISTICA,29
[A5810227] DIRITTO COSTITUZIONALE,28.625
[E2401P004] STORIA DELLA PSICOLOGIA,28.5
[E4102B005] STATISTICA I,28.428571428571427
[E1802M033] INFORMATICA GENERALE,28.25
[E3001Q043] FISICA III,28
[E1802M007] RAGIONERIA GENERALE ED APPLICATA,27.90909090909091
[F5104P001] ANALISI MULTIVARIATA DEI DATI,27.333333333333332
[E1803M048] STATISTICA PER LA FINANZA,27.333333333333332
[LING] LINGUA INGLESE,26.88888888888889
[E3001Q037] LABORATORIO I,26.666666666666668
[E3001Q036] FISICA I,26.5
[G8501R037] DIDATTICA DELLA LETTERATURA E DIDATTICA DELLA LINGUA ITALIANA COME L2 CON LABORATORIO,26.375
[E1601N006] INGLESE,25.6
[I0101D007] SCIENZE UMANE,25.5
[F7701M080] BILANCI DELLE SOCIETA' E DEI GRUPPI,25.5
[E3101Q100] ANALISI MATEMATICA,25.5
[E3401Q001] MATEMATICA,25.4
[I0101D016] MEDICINA CLINICA E DELLA DISABILITA',25.333333333333332
[E1601N009] SOCIOLOGIA ECONOMICA E DEL LAVORO,25.333333333333332
[F5104P003] ORIGINI E SVILUPPO DELLA MENTE UMANA,24.8
"[E3301M148] ECONOMIA,GESTIONE DELLE IMPRESE INDUSTRIALI E MARKETING",24.75
[E1901R004] ANTROPOLOGIA CULTURALE,24.75
[F7702M057] GLOBAL ACCOUNTING,24
[E4102B067] INFORMATICA,23.857142857142858
[F5102P017] PSICOLOGIA DEI CONSUMI,23.8
[E4102B002] ALGEBRA LINEARE,23.8
[A5810019] ISTITUZIONI DI DIRITTO PRIVATO,23.545454545454547
