ad,media
[F5602M014] INDUSTRIAL ORGANIZATION,5
[F0601Q058] BIODIVERSITA' VEGETALE,4
[F5401Q044] ANALISI DI BIOMOLECOLE,3.5
[E3002Q030] STORIA E SVILUPPI DEGLI STRUMENTI OTTICI,3.3333333333333335
[F0802Q066] CHIMICA ORGANICA FARMACEUTICA,3
[E2701Q039] MATEMATICA III,3
[E1401A039] DIRITTO DELL'ESECUZIONE CIVILE,3
[A5810071] ORGANIZZAZIONE INTERNAZIONALE,3
[E2702Q089] CHIMICA FISICA II E LABORATORIO,2.8620689655172415
[E3002Q006] FISICA I,2.84
[E1901R090] GEOGRAFIA CULTURALE,2.8
[E3002Q033] OTTICA GEOMETRICA E OFTALMICA CON LABORATORIO,2.676470588235294
[E3002Q032] ANATOMIA E ISTOLOGIA UMANA E OCULARE,2.6153846153846154
[F4901N003] COMUNICAZIONE PER IL TURISMO,2.5
[E3301M183] LINGUA- TEDESCO,2.5
[A5810076] DIRITTO ECCLESIASTICO COMPARATO,2.5
[E4101B001] ANALISI MATEMATICA I,2.489130434782609
[I0302D003] ORGANI E FUNZIONI,2.4814814814814814
[E1803M047] MATEMATICA GENERALE I,2.4491017964071857
[I0302D009] MICROBIOLOGIA CLINICA,2.4285714285714284
[I0301D001] SCIENZE PROPEDEUTICHE,2.4
[I0303D001] SCIENZE PROPEDEUTICHE,2.375
[I0302D001] SCIENZE PROPEDEUTICHE,2.375
[E3002Q034] OPTOMETRIA AVANZATA CON LABORATORIO,2.3636363636363638
[E2702Q087] CHIMICA ANALITICA E LABORATORIO,2.3333333333333335
[A5810137] TUTELA INTERNAZIONALE DEI DIRITTI UMANI,2.3333333333333335
[A5810107] DIRITTO PENALE DELL'AMBIENTE,2.3333333333333335
[E4101B002] ALGEBRA LINEARE,2.2714285714285714
[K0101D014] INGLESE A LIVELLO B2,2.25
[F7401Q051] GEORISORSE MINERARIE E LAPIDEI,2.25
[I0301D002] SCIENZE BIOMEDICHE,2.2
[E2401P076] STORIA DELLA FILOSOFIA,2.2
[E2701Q036] FISICA I CON LABORATORIO,2.1470588235294117
[E3101Q129] METODI ALGEBRICI PER L'INFORMATICA,2.142857142857143
[H4601D016] SCIENZE MEDICHE AFFINI,2.130434782608696
[E3201Q001] MATEMATICA I,2.130434782608696
[E1803M051] MATEMATICA PER LA FINANZA,2.1176470588235294
[E2702Q082] CHIMICA GENERALE E LABORATORIO,2.097560975609756
[E4102B005] STATISTICA I,2.094736842105263
[F1601M084] INVESTMENT BANKING,2.090909090909091
[E4102B002] ALGEBRA LINEARE,2.087719298245614
[I0301D003] ORGANI E FUNZIONI,2.076923076923077
[E4102B081] STATISTICA II,2.0625
[I0302D002] SCIENZE BIOMEDICHE,2.0555555555555554
[E2001R004] ETNOLINGUISTICA,2.0483870967741935
[E3001Q054] ELEMENTI DI ASTROFISICA,2.0476190476190474
[E1802M007] RAGIONERIA GENERALE ED APPLICATA,2.046666666666667
[E4102B067] INFORMATICA,2.0120481927710845
[H4601D033] INFORMATICA DI BASE,2
[H4601D017] IGIENE E MEDICINA PREVENTIVA,2
[H4601D001] SCIENZE PROPEDEUTICHE,2
[H4101D005] INGLESE DI BASE A LIVELLO B2,2
[F8801N042] GEOGRAFIA POLITICA,2
[F8204B008] ANALISI DI MERCATO M,2
[F8203B030] INTRODUZIONE ALL'INFERENZA STATISTICA,2
[F8203B004] CALCOLO DELLE PROBABILITA',2
[F7702M043] STORIA DELL'IMPRESA,2
[F7601M060] DIRITTO DEL TURISMO PROGREDITO,2
[F7601M056] LINGUA FRANCESE PER LE SCIENZE TURISTICHE,2
[F5602M002] QUANTITATIVE METHODS,2
[F5401Q048] CHIMICA AMBIENTALE,2
[F5301Q035] SUPERFICI E INTERFACCE,2
[F5301Q024] TERMODINAMICA E CINETICA DEI MATERIALI,2
[F5301Q011] INTERAZIONE RADIAZIONE IONIZZANTE-MATERIA,2
[F4901N075] ECOLOGIA,2
[F4001Q095] METODI MATEMATICI PER L?ANALISI ECONOMICA ? OTTIMIZZAZIONE E ANALISI CONVESSA,2
[F4001Q055] ANALISI SUPERIORE,2
[F1701Q131] LABORATORIO DI FISICA DEI PLASMI I,2
[F1701Q118] FISICA DEI SEMICONDUTTORI,2
[F0802Q064] NEUROBIOCHIMICA,2
[F0601Q061] PATOLOGIE DEL METABOLISMO,2
[F0101R025] CULTURE E SOCIETÀ DELL'AFRICA,2
[E3501Q008] ANALISI MATEMATICA II,2
[E3101Q119] INGEGNERIA DEL SOFTWARE,2
[E2701Q034] CHIMICA GENERALE E INORGANICA CON LABORATORIO,2
[E1901R100] STORIA DELLA FILOSOFIA CONTEMPORANEA,2
[E1401A082] POLITICA ECONOMICA,2
[E1401A080] DIRITTO DELL'UNIONE EUROPEA,2
[A5810080] DIRITTO COMPARATO DELLE OBBLIGAZIONI E DEI CONTRATTI,2
[A5810053] DIRITTO DELL'ESECUZIONE CIVILE,2
[G8501R012] ISTITUZIONI E DIDATTICA DELLA MATEMATICA CON LABORATORIO,1.9610389610389611
[E2701Q001] MATEMATICA I,1.9565217391304348
[LING] LINGUA INGLESE,1.9516129032258065
[F5103P003] PSICOLOGIA DELLO SVILUPPO COGNITIVO,1.9411764705882353
[E1801M032] INFORMATICA GENERALE,1.9197080291970803
[F1601M055] STRATEGIE DI INVESTIMENTO,1.9166666666666667
[E3101Q101] COMPLEMENTI DI MATEMATICA,1.9132947976878614
[E3301M131] METODI MATEMATICI,1.90990990990991
